Razón,Valor
EfecAct,0.12218045112781954
CliAct,0.08278152768284347
InvAct,0
AcAcT,0.43101717361585784
InmAct,0.19687713602187287
OaAct,0.04952366712235133
PacAct,0.12767002734107996
PrsAct,0.06376025290498975
PalAct,0.1546907040328093
TopAct,0.2823607313738893
tocact,0.7102272727272727
cosvta,0.22978284039435118
uopvta,0.2880695443645084
gfinvta,0.002930988542499334
uaivta,0.2661370903277378
impvta,0.03309019451105782
utnvta,0.2335464961364242
Acpc,3.37602476158608
Acinvpc,3.37602476158608
rotinv,N/A
rotcxc,7.7471294026577215
rotact,0.6413192071086808
intact,1.5592859046096457
pascc,0.39756390977443606
multcap,1.4080000000000001
paslpcc,0.2178045112781955
cobinter,98.2840909090909
roe,0.2108872180451128
roa,0.14977785372522215
ros,0.2335464961364242
upa,2.3012799474893337
diainv,0
diacxc,0
