Razón,Valor
EfecAct,0.02682834406972338
CliAct,0.0480106100795756
InvAct,0
AcAcT,0.16438044713906783
InmAct,0.1242326638878363
OaAct,0.03937097385373248
PacAct,0.12582417582417582
PrsAct,0.27923455854490337
PalAct,0.38541114058355436
TopAct,0.5112353164077302
tocact,0.4887646835922698
cosvta,0.5782572785463556
uopvta,0.1251290522403469
gfinvta,0.02333264505471815
uaivta,0.08579392938261408
impvta,0.00681395829031592
utnvta,0.07350815610158992
Acpc,1.306429754555037
Acinvpc,1.306429754555037
rotinv,N/A
rotcxc,7.644830307813733
rotact,0.367032967032967
intact,2.7245508982035926
pascc,1.0459743381013296
multcap,2.0459743381013293
paslpcc,0.7885413032523162
cobinter,5.3628318584070795
roe,0.05520021707950537
roa,0.02697991663508905
ros,0.07350815610158992
upa,4.937723653915504
diainv,0
diacxc,0
