Razón,Valor
EfecAct,0.001201054846331223
CliAct,0.02151410194534609
InvAct,0
AcAcT,0.03290164756650358
InmAct,0.3299225899253343
OaAct,0.2286396772372111
PacAct,0.04027437360612972
PrsAct,0.4567320583067571
PalAct,0.8232485734023526
TopAct,0.8635229470084823
tocact,0.1364770529915177
cosvta,0.6750627418174213
uopvta,0.21481229739621457
gfinvta,0.09480811460838649
uaivta,0.12137666004391927
impvta,0.034026978981491166
utnvta,0.0865497228903064
Acpc,0.8169375367143137
Acinvpc,0.8169375367143137
rotinv,N/A
rotcxc,14.021480151020857
rotact,0.3016595533937094
intact,3.3149952943636936
pascc,6.3272391078238766
multcap,7.3272391078238766
paslpcc,6.032139142493933
cobinter,2.2657585617382674
roe,0.19130359412920375
roa,0.02610855075343913
ros,0.0865497228903064
upa,2.1421546425105142
diainv,0
diacxc,0
