Razón,Valor
EfecAct,0.01663375495899379
CliAct,0.17715393784134778
InvAct,0
AcAcT,0.2655530056394656
InmAct,0.5323157389123125
OaAct,0.0032733806550319334
PacAct,0.22513387059472345
PrsAct,0.6612406824287062
PalAct,0.7560086104143318
TopAct,0.9811424810090552
tocact,0.03155965914144918
cosvta,0.15241349587489225
uopvta,0.148180642777983
gfinvta,0.029830070188400445
uaivta,0.11861223987193695
impvta,0.024858391823667034
utnvta,0.0806858761236301
Acpc,1.1795337811141842
Acinvpc,1.1795337811141842
rotinv,N/A
rotcxc,6.524201646917051
rotact,1.1557880130223621
intact,0.8652105652013299
pascc,31.088500563697856
multcap,31.686020293122887
paslpcc,23.95490417136415
cobinter,4.96749226006192
roe,2.9549041713641486
roa,0.09325576844389888
ros,0.0806858761236301
upa,18.964444380128214
diainv,0
diacxc,0
