Razón,Valor
EfecAct,0.1477283285329369
CliAct,0.1199479698968689
InvAct,0
AcAcT,0.3889250209049521
InmAct,0.11799684102945275
OaAct,0.0657809161014587
PacAct,0.14893617021276595
PrsAct,0.2541113072563412
PalAct,0.3079996283564062
TopAct,0.45693579856917216
tocact,0.5430642014308278
cosvta,0.4929020927850139
uopvta,0.19757061320064392
gfinvta,0.013903117225230499
uaivta,0.19596077857456462
impvta,0.014488511634713888
utnvta,0.18147226693985072
Acpc,2.611353711790393
Acinvpc,2.611353711790393
rotinv,N/A
rotcxc,5.292796281951976
rotact,0.6348601690978352
intact,1.57515000731743
pascc,0.8414029084687767
multcap,1.8414029084687769
paslpcc,0.5671514114627887
cobinter,14.210526315789474
roe,0.21214713430282292
roa,0.11520951407600112
ros,0.18147226693985072
upa,4.1891891891891895
diainv,0
diacxc,0
