Razón,Valor
EfecAct,0.06412936489336771
CliAct,0.0970142957581439
InvAct,0
AcAcT,0.3015514412936489
InmAct,0.21608624326224513
OaAct,0.11245371455355051
PacAct,0.24086243262245138
PrsAct,0.31575345676119054
PalAct,0.4063370049214905
TopAct,0.6471994375439418
tocact,0.3522943520037497
cosvta,0.26825251601097894
uopvta,0.04913914996257174
gfinvta,0.019063461698411378
uaivta,0.03142310571404808
impvta,0.025151792397904018
utnvta,0.006071695916160692
Acpc,1.251965439402195
Acinvpc,1.251965439402195
rotinv,N/A
rotcxc,5.8087737945695235
rotact,0.5635340988985236
intact,1.774515511935457
pascc,1.8370985338335861
multcap,2.8385354301375694
paslpcc,1.1534019850456347
cobinter,2.5776614310645725
roe,0.009712354647295175
roa,0.003421607686899461
ros,0.006071695916160692
upa,0.14330585001963095
diainv,0
diacxc,0
