Razón,Valor
EfecAct,0.06795367940334801
CliAct,0.28822857820678205
InvAct,0
AcAcT,0.7112672923802322
InmAct,0.05997657280963184
OaAct,0.04723989146390285
PacAct,0.7763148139910739
PrsAct,0.08272170573669617
PalAct,0.2473940957549338
TopAct,1.0237089097460077
tocact,0.029224678617499222
cosvta,0.9584788526335891
uopvta,0.013500522736615192
gfinvta,0.0008156633252522245
uaivta,0.01226408071182809
impvta,0.00203592155390337
utnvta,0.009716751200028484
Acpc,0.9162098668754894
Acinvpc,0.9162098668754894
rotinv,N/A
rotcxc,15.893358711867894
rotact,4.580920184452056
intact,0.21829675255946737
pascc,35.02891933028919
multcap,34.21765601217656
paslpcc,8.465246067985793
cobinter,16.5515873015873
roe,1.5230847285641806
roa,0.044511661699509215
ros,0.009716751200028484
upa,22.38627889634601
diainv,0
diacxc,0
