Razón,Valor
EfecAct,0.030792541362203378
CliAct,0.04925992000456186
InvAct,0
AcAcT,0.11582231563169514
InmAct,0.04852676425784273
OaAct,0.06597587102975798
PacAct,0.12489715454108523
PrsAct,0.3412351230479728
PalAct,0.4965338025530112
TopAct,0.6214309570940965
tocact,0.3684189089013254
cosvta,0.5935480748287796
uopvta,0.021441881851842887
gfinvta,0.05374990924711406
uaivta,0.09348757290481838
impvta,0.018973403354226665
utnvta,0.07565160572106193
Acpc,0.9273415079572137
Acinvpc,0.9273415079572137
rotinv,N/A
rotcxc,6.833305771456921
rotact,0.3366080956686788
intact,2.9708138718811257
pascc,1.686750983947287
multcap,2.714301507982134
paslpcc,1.3477424490337417
cobinter,0.39891940567312023
roe,0.06911953301198426
roa,0.02546494293604438
ros,0.07565160572106193
upa,1.2832512315270936
diainv,0
diacxc,0
