Razón,Valor
EfecAct,0.1823075214590873
CliAct,0.07041542005809523
InvAct,0
AcAcT,0.37176153956702945
InmAct,0.47852784782012253
OaAct,0.029587628417013977
PacAct,0.13918466355722206
PrsAct,0.0800660212609364
PalAct,0.19377414283412375
TopAct,0.33295880639134584
tocact,0.6670411936086542
cosvta,0.19242857778239017
uopvta,0.3465552771641636
gfinvta,0.0033061036900861366
uaivta,0.35157373500763517
impvta,0.06174852856147425
utnvta,0.28982520644616094
Acpc,2.6709949937421777
Acinvpc,2.6709949937421777
rotinv,N/A
rotcxc,8.34324942791762
rotact,0.5874934131162819
intact,1.7021467435619932
pascc,0.49915778752742085
multcap,1.499157787527421
paslpcc,0.2904980152512274
cobinter,104.82286995515695
roe,0.25526219575890524
roa,0.1702703997421861
ros,0.28982520644616094
upa,14.871814378090528
diainv,0
diacxc,0
