Razón,Valor
EfecAct,0.06898564542098172
CliAct,0.04951381220844542
InvAct,0
AcAcT,0.15936939084244986
InmAct,0.16996385817617557
OaAct,0.0538770983417567
PacAct,0.15146975128782608
PrsAct,0.20479231828153655
PalAct,0.29880483901565824
TopAct,0.4502745903034843
tocact,0.48291411087708375
cosvta,0.6659429908434386
uopvta,0.10114963216270333
gfinvta,0.02219397511755045
uaivta,0.05364575131049067
impvta,0.015512160003599632
utnvta,0.02647978582195325
Acpc,1.0521532483380969
Acinvpc,1.0521532483380969
rotinv,N/A
rotcxc,8.733470871401906
rotact,0.4324274366545221
intact,2.3125267160116088
pascc,0.9324113339444181
multcap,2.070761606414376
paslpcc,0.6187535884444534
cobinter,4.5575266092245315
roe,0.02371143366540085
roa,0.011450585906148001
ros,0.02647978582195325
upa,1.2863387978142076
diainv,0
diacxc,0
