Razón,Valor
EfecAct,0.004816805146983892
CliAct,0.02014362096023588
InvAct,0
AcAcT,0.028071987118952667
InmAct,0.26849102878533626
OaAct,0.03214826792034947
PacAct,0.08977329084942898
PrsAct,0.6506899105256364
PalAct,0.8102355410923073
TopAct,0.9000088319417363
tocact,0.07531608160714165
cosvta,0.5448385738092186
uopvta,0.22901825773252513
gfinvta,0.09500613474462981
uaivta,0.12551504385884593
impvta,0.029172084165033786
utnvta,0.08345083963594412
Acpc,0.3126986529438474
Acinvpc,0.3126986529438474
rotinv,N/A
rotcxc,18.417200674536257
rotact,0.3709891095364589
intact,2.6954969143150147
pascc,11.949756449576041
multcap,13.277376871730109
paslpcc,10.757802633952734
cobinter,2.4105628373168853
roe,0.4110589933249143
roa,0.030959352686608738
ros,0.08345083963594412
upa,29.98697076977745
diainv,0
diacxc,0
